H,L_leng,L_Width
15,4,4.7
24.5,6,6.8
18,6.4,7.9
24.5,5,6
16.5,5.3,5.5
19,4.1,5.7
18,5.5,6.1
22.2,5.9,6.7
31,5,6.8
32.5,6.5,7.3
15,5,5.5
26.5,5.5,7.5
28.5,5.5,5.5
25.5,6,7.5
28.5,5.7,7.2
33,5.2,6.5
31,5.3,5.9
31.4,4.6,5.5
31,5.7,6.6
3.5,4.3,5
31,3.9,4.2
31,4.2,5
22,3.8,3.8
24.5,3.6,4.2
38,4.6,5.1
28.5,4,4.5
41.6,4.3,4.3
28.5,5.3,5.5
35,4.5,5.5
33,5.5,5.5
34,4.6,6
48,6.5,7.5
39,7,9
40,5.6,7.3
36,5.7,7.2
38.3,5,9
35,6.5,7.6
38,6.5,8.2
58,6,8
60.5,7.2,9.1
34.5,6,7.3
48.3,6.1,8
58,6,7.1
49.5,7,8.5
56,6.8,8
61,6.2,7.8
51.2,6,6.2
56.5,5.4,7.3
61,7,7.4
58,5.3,7.4
56.5,5,7
49,5.2,6.3
44.4,5,5.7
50.7,6,6.7
68.2,7,7.2
56,6.2,7.5
73.5,6.2,6.5
53.5,7,6.4
61,6,7.6
57.8,6.3,7.6
67.5,8.5,11.2
82.5,8.5,11
71.5,8.5,11.5
68,9,10.7
66,8,10.5
71.5,8,10.7
66.5,8,9
65.5,8,9
94,8.5,11.5
84.5,9,12
68.5,8.5,10.5
84,7.5,10
100,8.5,12
68,7.6,9.7
94,8.2,11.5
101,9,11.1
79,5,8.4
92,8.4,11.5
98,8.5,9.5
86.4,8.2,11.5
90.5,9,11
54,8.5,11.5
73,8.2,11.1
84.5,8.7,11.5
107,9,12
95,9.2,11
110,8.5,12.3
88,8.3,11.5
94,8.1,11
97.5,8.1,9.5
104,9.2,12.1
112,9.1,11.9
102,9.3,12.3
97.5,9,11.5
74.5,8.7,12.1
110.5,8.5,11.1
76.5,8.1,11.1
83.5,7.7,10.2
126.5,9.1,12
113.5,9.4,13
100,9.2,12
126,8.3,11.2
136,9.5,13.5
92,7.5,10.6
125,9,12
134,9.2,12.2
110,5,9.1
120.5,9,12.5
123,9.6,12.6
116,8.6,12
126,9.1,12
80,9.6,12.8
111,9,12.7
117,9.2,12.6
146,9,12
128,9.5,12.8
153,9.1,12.8
128.5,8.9,11.6
125,8.7,12
131,8.7,10.6
159,9.2,12.6
180,9.4,12.5
154,9.5,12.7
153,9,11.7
112,9,12.2
160.5,8.5,11.6
145.5,8.2,11.6
132,7.7,10
183,9.4,12.6
164,9.7,13
157,9.6,12.1
152,8.4,12.4
201,9.5,14.1
138.5,7.8,10.3
190,9,12.2
171.5,9.5,12.2
176,5,9.2
180,9.4,12.6
184.5,9.7,13
170,8.9,12.4
185,9.2,12
130,9.9,12.7
165,9.3,12.5
174.5,9.2,12.6
196,9.4,12.1
190.5,9.7,12.1
219,9.1,13.1
187,9.2,12.1
187,9,12
195,9,11.1
194,9.5,13
212,9.1,13
184,9.7,12.8
186,9.6,12.1
151,9.3,12.9
189,8.8,12
172,8.6,12
160,7.8,10.3
222,9.7,13.3
200,10,13.4
194,9.9,12.8
153.5,9,12.4
241,9.7,14.2
170,8,10.5
231,9,12.3
169,9.6,13.1
204,5.2,9.4
204,9.3,12.7
219,9.9,12.3
204,9,12.5
172,9.5,13.3
159.5,10.3,13.9
192,9.5,13.8
209,9.4,13.3
196,9.6,12.9
217,9.9,12.8
249,9.2,14
209,9.4,12.8
210,9.2,12.7
231,9.4,11.4
244.5,9.5,13.1
247,9.2,13.4
221,9.7,12.9
225,9.6,12.2
189,9.3,12.9
214,9,12.1
212,8.6,12
194,8,10.5
245,9.8,13.4
241,10.1,13.4
239,10,13
177,9,12.5
279,9.9,14.2
193,8,10.6
257,9.2,12.3
192,9.7,13
239,7.5,9.5
215,9.3,12.8
255,9.9,13.1
204,9,12.5
239,9,13.4
196,9.5,13.9
182,10.2,13.8
224,9.4,13.4
217,9.6,13
261,9.9,12.6
239,9.4,14
251,9.4,12.8
208,9.2,12.7
200,9.4,11.4
