Edificio;Consumo (m3);Mes;Año;
Edificio Almendro;69;enero;2021;
Edificio Almendro;112;febrero;2021;
Edificio Almendro;131;marzo;2021;
Edificio Almendro;152;abril;2021;
Edificio Almendro;126;mayo;2021;
Edificio Almendro;121;junio;2021;
Edificio Almendro;115;julio;2021;
Edificio Almendro;111;agosto;2021;
Edificio Almendro;75;setiembre;2021;
Edificio Almendro;111;octubre;2021;
Edificio Almendro;124;noviembre;2021;
Edificio Almendro;70;diciembre;2021;
Edificio Caoba (Piñal);0;enero;2021;
Edificio Caoba (Piñal);0;febrero;2021;
Edificio Caoba (Piñal);0;marzo;2021;
Edificio Caoba (Piñal);431;abril;2021;
Edificio Caoba (Piñal);37;mayo;2021;
Edificio Caoba (Piñal);25;junio;2021;
Edificio Caoba (Piñal);20;julio;2021;
Edificio Caoba (Piñal);20;agosto;2021;
Edificio Caoba (Piñal);20;setiembre;2021;
Edificio Caoba (Piñal);28;octubre;2021;
Edificio Caoba (Piñal);27;noviembre;2021;
Edificio Caoba (Piñal);15;diciembre;2021;
Edificio Carey;254;enero;2021;
Edificio Carey;402;febrero;2021;
Edificio Carey;454;marzo;2021;
Edificio Carey;690;abril;2021;
Edificio Carey;166;mayo;2021;
Edificio Carey;55;junio;2021;
Edificio Carey;61;julio;2021;
Edificio Carey;56;agosto;2021;
Edificio Carey;9;setiembre;2021;
Edificio Carey;43;octubre;2021;
Edificio Carey;61;noviembre;2021;
Edificio Carey;32;diciembre;2021;
Edificio Cedro ;87;enero;2021;
Edificio Cedro ;125;febrero;2021;
Edificio Cedro ;130;marzo;2021;
Edificio Cedro ;149;abril;2021;
Edificio Cedro ;116;mayo;2021;
Edificio Cedro ;95;junio;2021;
Edificio Cedro ;293;julio;2021;
Edificio Cedro ;89;agosto;2021;
Edificio Cedro ;52;setiembre;2021;
Edificio Cedro ;101;octubre;2021;
Edificio Cedro ;90;noviembre;2021;
Edificio Cedro ;49;diciembre;2021;
Edificio Ebano;106;enero;2021;
Edificio Ebano;94;febrero;2021;
Edificio Ebano;112;marzo;2021;
Edificio Ebano;119;abril;2021;
Edificio Ebano;98;mayo;2021;
Edificio Ebano;100;junio;2021;
Edificio Ebano;104;julio;2021;
Edificio Ebano;65;agosto;2021;
Edificio Ebano;62;setiembre;2021;
Edificio Ebano;63;octubre;2021;
Edificio Ebano;93;noviembre;2021;
Edificio Ebano;87;diciembre;2021;
Edificio Gavilan ;66;enero;2021;
Edificio Gavilan ;87;febrero;2021;
Edificio Gavilan ;101;marzo;2021;
Edificio Gavilan ;112;abril;2021;
Edificio Gavilan ;101;mayo;2021;
Edificio Gavilan ;90;junio;2021;
Edificio Gavilan ;86;julio;2021;
Edificio Gavilan ;65;agosto;2021;
Edificio Gavilan ;58;setiembre;2021;
Edificio Gavilan ;66;octubre;2021;
Edificio Gavilan ;70;noviembre;2021;
Edificio Gavilan ;35;diciembre;2021;
Edificio Guarumo;106;enero;2021;
Edificio Guarumo;124;febrero;2021;
Edificio Guarumo;121;marzo;2021;
Edificio Guarumo;151;abril;2021;
Edificio Guarumo;99;mayo;2021;
Edificio Guarumo;107;junio;2021;
Edificio Guarumo;115;julio;2021;
Edificio Guarumo;98;agosto;2021;
Edificio Guarumo;87;setiembre;2021;
Edificio Guarumo;132;octubre;2021;
Edificio Guarumo;146;noviembre;2021;
Edificio Guarumo;154;diciembre;2021;
Edificio Guayacán (Loma);0;enero;2021;
