Edificio;Consumo (m3);Mes;Año
Edificio Almendro;69,00;enero;2021
Edificio Almendro;112,00;febrero;2021
Edificio Almendro;131,00;marzo;2021
Edificio Almendro;152,00;abril;2021
Edificio Almendro;126,00;mayo;2021
Edificio Almendro;121,00;junio;2021
Edificio Almendro;115,00;julio;2021
Edificio Almendro;111,00;agosto;2021
Edificio Almendro;75,00;setiembre;2021
Edificio Almendro;111,00;octubre;2021
Edificio Almendro;124,00;noviembre;2021
Edificio Almendro;70,00;diciembre;2021
Edificio Caoba (Piñal);0,00;enero;2021
Edificio Caoba (Piñal);0,00;febrero;2021
Edificio Caoba (Piñal);0,00;marzo;2021
Edificio Caoba (Piñal);431,00;abril;2021
Edificio Caoba (Piñal);37,00;mayo;2021
Edificio Caoba (Piñal);25,00;junio;2021
Edificio Caoba (Piñal);20,00;julio;2021
Edificio Caoba (Piñal);20,00;agosto;2021
Edificio Caoba (Piñal);20,00;setiembre;2021
Edificio Caoba (Piñal);28,00;octubre;2021
Edificio Caoba (Piñal);27,00;noviembre;2021
Edificio Caoba (Piñal);15,00;diciembre;2021
Edificio Carey;254,00;enero;2021
Edificio Carey;402,00;febrero;2021
Edificio Carey;454,00;marzo;2021
Edificio Carey;690,00;abril;2021
Edificio Carey;166,00;mayo;2021
Edificio Carey;55,00;junio;2021
Edificio Carey;61,00;julio;2021
Edificio Carey;56,00;agosto;2021
Edificio Carey;9,00;setiembre;2021
Edificio Carey;43,00;octubre;2021
Edificio Carey;61,00;noviembre;2021
Edificio Carey;32,00;diciembre;2021
Edificio Cedro ;87,00;enero;2021
Edificio Cedro ;125,00;febrero;2021
Edificio Cedro ;130,00;marzo;2021
Edificio Cedro ;149,00;abril;2021
Edificio Cedro ;116,00;mayo;2021
Edificio Cedro ;95,00;junio;2021
Edificio Cedro ;293,00;julio;2021
Edificio Cedro ;89,00;agosto;2021
Edificio Cedro ;52,00;setiembre;2021
Edificio Cedro ;101,00;octubre;2021
Edificio Cedro ;90,00;noviembre;2021
Edificio Cedro ;49,00;diciembre;2021
Edificio Ebano;106,00;enero;2021
Edificio Ebano;94,00;febrero;2021
Edificio Ebano;112,00;marzo;2021
Edificio Ebano;119,00;abril;2021
Edificio Ebano;98,00;mayo;2021
Edificio Ebano;100,00;junio;2021
Edificio Ebano;104,00;julio;2021
Edificio Ebano;65,00;agosto;2021
Edificio Ebano;62,00;setiembre;2021
Edificio Ebano;63,00;octubre;2021
Edificio Ebano;93,00;noviembre;2021
Edificio Ebano;87,00;diciembre;2021
Edificio Gavilan ;66,00;enero;2021
Edificio Gavilan ;87,00;febrero;2021
Edificio Gavilan ;101,00;marzo;2021
Edificio Gavilan ;112,00;abril;2021
Edificio Gavilan ;101,00;mayo;2021
Edificio Gavilan ;90,00;junio;2021
Edificio Gavilan ;86,00;julio;2021
Edificio Gavilan ;65,00;agosto;2021
Edificio Gavilan ;58,00;setiembre;2021
Edificio Gavilan ;66,00;octubre;2021
Edificio Gavilan ;70,00;noviembre;2021
Edificio Gavilan ;35,00;diciembre;2021
Edificio Guarumo;106,00;enero;2021
Edificio Guarumo;124,00;febrero;2021
Edificio Guarumo;121,00;marzo;2021
Edificio Guarumo;151,00;abril;2021
Edificio Guarumo;99,00;mayo;2021
Edificio Guarumo;107,00;junio;2021
Edificio Guarumo;115,00;julio;2021
Edificio Guarumo;98,00;agosto;2021
Edificio Guarumo;87,00;setiembre;2021
Edificio Guarumo;132,00;octubre;2021
Edificio Guarumo;146,00;noviembre;2021
Edificio Guarumo;154,00;diciembre;2021
Edificio Guayacán (Loma);0,00;enero;2021
Edificio Guayacán (Loma);0,00;febrero;2021
Edificio Guayacán (Loma);0,00;marzo;2021
Edificio Guayacán (Loma);0,00;abril;2021
Edificio Guayacán (Loma);0,00;mayo;2021
Edificio Guayacán (Loma);0,00;junio;2021
Edificio Guayacán (Loma);0,00;julio;2021
Edificio Guayacán (Loma);0,00;agosto;2021
Edificio Guayacán (Loma);0,00;setiembre;2021
Edificio Guayacán (Loma);0,00;octubre;2021
Edificio Guayacán (Loma);0,00;noviembre;2021
Edificio Guayacán (Loma);0,00;diciembre;2021
Edificio Laurel;546,00;enero;2021
Edificio Laurel;172,00;febrero;2021
Edificio Laurel;92,00;marzo;2021
Edificio Laurel;103,00;abril;2021
Edificio Laurel;82,00;mayo;2021
Edificio Laurel;72,00;junio;2021
Edificio Laurel;68,00;julio;2021
Edificio Laurel;71,00;agosto;2021
Edificio Laurel;46,00;setiembre;2021
Edificio Laurel;82,00;octubre;2021
Edificio Laurel;73,00;noviembre;2021
Edificio Laurel;37,00;diciembre;2021
Edificio Nogal;45,00;enero;2021
Edificio Nogal;64,00;febrero;2021
Edificio Nogal;106,00;marzo;2021
Edificio Nogal;92,00;abril;2021
Edificio Nogal;72,00;mayo;2021
Edificio Nogal;60,00;junio;2021
Edificio Nogal;61,00;julio;2021
Edificio Nogal;58,00;agosto;2021
Edificio Nogal;40,00;setiembre;2021
Edificio Nogal;69,00;octubre;2021
Edificio Nogal;72,00;noviembre;2021
Edificio Nogal;34,00;diciembre;2021
Edificio Surá;207,00;enero;2021
Edificio Surá;257,00;febrero;2021
Edificio Surá;326,00;marzo;2021
Edificio Surá;438,00;abril;2021
Edificio Surá;394,00;mayo;2021
Edificio Surá;600,00;junio;2021
Edificio Surá;1171,00;julio;2021
Edificio Surá;1203,00;agosto;2021
Edificio Surá;226,00;setiembre;2021
Edificio Surá;243,00;octubre;2021
Edificio Surá;255,00;noviembre;2021
Edificio Surá;135,00;diciembre;2021
Edificio Almendro;64,00;Enero;2022
Edificio Almendro;104,00;Febrero;2022
Edificio Almendro;110,00;Marzo;2022
Edificio Almendro;109,00;Abril;2022
Edificio Almendro;112,00;Mayo;2022
Edificio Almendro;110,00;Junio;2022
Edificio Almendro;103,00;Julio;2022
Edificio Almendro;109,00;Agosto;2022
Edificio Almendro;72,00;Setiembre;2022
Edificio Almendro;79,00;Octubre;2022
Edificio Almendro;80,00;Noviembre;2022
Edificio Almendro;33,00;Diciembre;2022
Edificio Caoba (Piñal);12,00;Enero;2022
Edificio Caoba (Piñal);24,00;Febrero;2022
Edificio Caoba (Piñal);25,00;Marzo;2022
Edificio Caoba (Piñal);22,00;Abril;2022
Edificio Caoba (Piñal);28,00;Mayo;2022
Edificio Caoba (Piñal);26,00;Junio;2022
Edificio Caoba (Piñal);25,00;Julio;2022
Edificio Caoba (Piñal);22,00;Agosto;2022
Edificio Caoba (Piñal);15,00;Setiembre;2022
Edificio Caoba (Piñal);17,00;Octubre;2022
