SubField,Cultivar,TRT,Plot,Ear,Ear_length,Cob_length,Kernel_row,rows_ear,kernel_ear,cob_diameter,100kernel_gr
 Irrigated,P15784AM,VBC-30507 (6),1,1,21.5,20.5,40,16,640,24.00,32.12
 Irrigated,P15784AM,VBC-30507 (6),1,2,24.0,21.5,43,16,688,26.00,37.39
 Irrigated,P15784AM,VBC-30507 (6),1,3,18.0,17.0,34,18,612,24.00,33.67
 Irrigated,P15784AM,VBC-30507 (6),1,4,18.5,17.5,38,18,684,26.00,32.84
 Irrigated,P15784AM,VBC-30507 (6),1,5,20.0,19.0,36,18,648,26.00,32.61
 Irrigated,P15784AM,VBC-30507 (2),2,1,23.0,21.0,48,20,960,27.00,33.10
 Irrigated,P15784AM,VBC-30507 (2),2,2,18.5,19.0,40,18,720,26.00,31.93
 Irrigated,P15784AM,VBC-30507 (2),2,3,22.0,20.0,42,16,672,23.00,35.70
 Irrigated,P15784AM,VBC-30507 (2),2,4,23.0,19.5,42,18,756,25.00,28.19
 Irrigated,P15784AM,VBC-30507 (2),2,5,21.5,20.0,41,16,656,25.04,35.34
 Irrigated,P15784AM,STC^,3,1,28.0,18.5,39,18,702,25.03,31.79
 Irrigated,P15784AM,STC^,3,2,24.0,17.0,29,18,522,25.03,33.20
 Irrigated,P15784AM,STC^,3,3,22.0,17.5,26,16,416,22.76,35.24
 Irrigated,P15784AM,STC^,3,4,23.0,18.0,25,16,400,25.06,33.04
 Irrigated,P15784AM,STC^,3,5,24.0,18.0,26,20,520,24.39,33.81
 Irrigated,P15784AM,VBC-30507 (6),4,1,25.0,20.0,43,16,688,21.83,33.55
 Irrigated,P15784AM,VBC-30507 (6),4,2,20.5,17.0,37,16,592,24.52,34.16
 Irrigated,P15784AM,VBC-30507 (6),4,3,24.0,19.0,35,18,630,22.47,35.80
 Irrigated,P15784AM,VBC-30507 (6),4,4,23.5,18.0,36,18,648,23.16,32.12
 Irrigated,P15784AM,VBC-30507 (6),4,5,26.0,18.0,36,16,576,23.16,33.72
 Irrigated,P15784AM,VBC-30507 (2),5,1,24.0,19.0,36,19,684,24.60,32.70
 Irrigated,P15784AM,VBC-30507 (2),5,2,23.0,15.0,29,18,522,28.00,36.86
 Irrigated,P15784AM,VBC-30507 (2),5,3,24.0,20.0,47,16,752,26.00,38.84
 Irrigated,P15784AM,VBC-30507 (2),5,4,20.5,17.5,37,20,740,25.00,33.78
 Irrigated,P15784AM,VBC-30507 (2),5,5,18.5,14.5,27,18,486,25.50,34.31
 Irrigated,P15784AM,VBC-30507 (6),6,1,24.0,21.0,40,16,640,24.90,39.28
 Irrigated,P15784AM,VBC-30507 (6),6,2,23.0,17.0,30,18,540,23.95,32.89
 Irrigated,P15784AM,VBC-30507 (6),6,3,27.5,20.0,44,18,792,25.20,32.81
 Irrigated,P15784AM,VBC-30507 (6),6,4,25.5,20.0,39,16,624,23.99,37.31
 Irrigated,P15784AM,VBC-30507 (6),6,5,22.0,13.0,22,16,352,20.87,31.94
 Irrigated,P15784AM,STC^,7,1,26.0,20.0,41,20,820,26.02,32.49
 Irrigated,P15784AM,STC^,7,2,23.5,19.5,39,16,624,23.91,33.69
 Irrigated,P15784AM,STC^,7,3,26.5,20.0,40,16,640,24.94,37.13
 Irrigated,P15784AM,STC^,7,4,21.5,17.0,36,17,612,24.97,33.02
 Irrigated,P15784AM,STC^,7,5,24.0,19.0,35,15,525,25.25,32.40
 Irrigated,P15784AM,VBC-30507 (2),8,1,20.5,19.0,39,16,624,25.00,35.14
 Irrigated,P15784AM,VBC-30507 (2),8,2,20.0,14.0,31,16,496,22.00,32.00
 Irrigated,P15784AM,VBC-30507 (2),8,3,21.5,19.0,39,18,702,26.00,32.86
 Irrigated,P15784AM,VBC-30507 (2),8,4,20.5,17.0,36,18,648,24.00,29.51
 Irrigated,P15784AM,VBC-30507 (2),8,5,23.0,20.0,37,20,740,28.00,31.79
 Irrigated,P15784AM,STC^,9,1,25.0,20.0,42,16,672,22.79,34.39
 Irrigated,P15784AM,STC^,9,2,24.0,17.0,37,16,592,23.48,33.51
 Irrigated,P15784AM,STC^,9,3,24.0,20.5,47,16,752,23.27,31.12
 Irrigated,P15784AM,STC^,9,4,24.0,18.5,37,18,666,26.39,27.04
 Irrigated,P15784AM,STC^,9,5,18.0,14.5,29,18,522,22.02,22.69
 Irrigated,P15784AM,VBC-30507 (6),10,1,22.0,21.0,38,18,684,27.00,36.40
 Irrigated,P15784AM,VBC-30507 (6),10,2,22.0,20.0,44,16,704,26.00,37.59
 Irrigated,P15784AM,VBC-30507 (6),10,3,22.0,19.5,39,18,702,24.00,33.06
 Irrigated,P15784AM,VBC-30507 (6),10,4,21.5,19.5,39,18,702,26.00,34.92
 Irrigated,P15784AM,VBC-30507 (6),10,5,15.0,13.0,25,16,400,23.00,31.39
 Irrigated,P15784AM,VBC-30507 (2),11,1,20.0,17.0,31,18,558,24.00,34.90
 Irrigated,P15784AM,VBC-30507 (2),11,2,20.5,18.0,33,18,594,25.00,33.57
 Irrigated,P15784AM,VBC-30507 (2),11,3,22.0,20.0,41,18,738,26.00,34.80
 Irrigated,P15784AM,VBC-30507 (2),11,4,20.0,18.0,39,18,702,25.00,32.98
 Irrigated,P15784AM,VBC-30507 (2),11,5,22.5,21.0,45,20,900,27.00,34.56
 Irrigated,P15784AM,STC^,12,1,25.0,19.5,44,18,792,26.00,32.97
 Irrigated,P15784AM,STC^,12,2,20.5,16.0,33,18,594,25.00,30.42
 Irrigated,P15784AM,STC^,12,3,20.5,18.0,37,18,666,24.00,29.84
 Irrigated,P15784AM,STC^,12,4,16.0,10.5,24,15,360,21.00,28.15
 Irrigated,P15784AM,STC^,12,5,18.5,16.5,29,20,580,26.00,31.94
 Rainfed,P15784AM,VBC-30507 (6),1,1,21.0,18.0,32,16,512,24.57,35.51
 Rainfed,P15784AM,VBC-30507 (6),1,2,21.0,17.0,36,20,720,25.33,28.25
 Rainfed,P15784AM,VBC-30507 (6),1,3,19.5,14.0,26,16,416,23.84,40.97
 Rainfed,P15784AM,VBC-30507 (6),1,4,18.5,13.0,31,18,558,23.46,27.98
 Rainfed,P15784AM,VBC-30507 (6),1,5,16.0,12.0,17,10,170,21.98,39.11
 Rainfed,P15784AM,VBC-30507 (2),2,1,26.0,17.0,25,16,400,27.53,34.78
 Rainfed,P15784AM,VBC-30507 (2),2,2,21.5,15.0,31,18,558,26.13,35.02
 Rainfed,P15784AM,VBC-30507 (2),2,3,25.0,17.0,22,13,286,26.62,31.72
 Rainfed,P15784AM,VBC-30507 (2),2,4,25.0,17.0,35,16,560,24.97,31.56
 Rainfed,P15784AM,VBC-30507 (2),2,5,22.5,16.0,24,18,432,26.26,32.84
 Rainfed,P15784AM,STC^,3,1,21.0,16.5,35,16,560,25.20,33.19
 Rainfed,P15784AM,STC^,3,2,19.0,17.0,35,18,630,26.90,29.86
 Rainfed,P15784AM,STC^,3,3,22.0,18.5,35,16,560,23.95,35.59
 Rainfed,P15784AM,STC^,3,4,19.5,14.5,29,18,522,23.58,32.87
 Rainfed,P15784AM,STC^,3,5,17.0,12.0,21,18,378,23.05,27.57
