,Country,Region,Market,Product,Date,Open,High,Low,Close,Currency
,Kenya,Central,Karatina (Nyeri),food_price_index,2024-03-01,1.2,1.22,1.18,1.2,KES
,Kenya,Eastern,Tala Centre Market (Machakos),food_price_index,2024-03-01,1.2,1.22,1.17,1.2,KES
,Kenya,Eastern,Kathonzweni (Makueni),food_price_index,2024-03-01,1.21,1.24,1.19,1.22,KES
,Kenya,Eastern,Kitui,food_price_index,2024-03-01,1.21,1.24,1.18,1.21,KES
,Kenya,Eastern,Makueni,food_price_index,2024-03-01,1.21,1.24,1.19,1.21,KES
,Kenya,Eastern,Wote town (Makueni),food_price_index,2024-03-01,1.21,1.24,1.19,1.22,KES
,Kenya,Nairobi,Mukuru (Nairobi),food_price_index,2024-03-01,1.21,1.23,1.18,1.22,KES
,Kenya,Eastern,Kitui town (Kitui),food_price_index,2024-03-01,1.22,1.23,1.2,1.22,KES
,Kenya,Nairobi,Dandora (Nairobi),food_price_index,2024-03-01,1.22,1.24,1.19,1.23,KES
,Kenya,Nairobi,Kangemi (Nairobi),food_price_index,2024-03-01,1.22,1.25,1.2,1.23,KES
,Kenya,Nairobi,Kibra (Nairobi),food_price_index,2024-03-01,1.22,1.25,1.2,1.23,KES
,Kenya,Nairobi,Kitengela (Kajiado),food_price_index,2024-03-01,1.22,1.25,1.2,1.22,KES
,Kenya,Nairobi,Mathare (Nairobi),food_price_index,2024-03-01,1.22,1.25,1.2,1.22,KES
,Kenya,Nairobi,Wakulima (Nairobi),food_price_index,2024-03-01,1.22,1.24,1.2,1.22,KES
,Kenya,Nairobi,Kawangware (Nairobi),food_price_index,2024-03-01,1.23,1.25,1.2,1.23,KES
,Kenya,Rift Valley,Kajiado,food_price_index,2024-03-01,1.23,1.25,1.2,1.23,KES
,Kenya,Rift Valley,Nakuru,food_price_index,2024-03-01,1.23,1.26,1.2,1.23,KES
,Kenya,Eastern,Isiolo town,food_price_index,2024-03-01,1.24,1.26,1.22,1.23,KES
,Kenya,Eastern,Kaanwa (Tharaka Nithi),food_price_index,2024-03-01,1.24,1.26,1.22,1.23,KES
,Kenya,Rift Valley,Illbissil Food Market (Kajiado),food_price_index,2024-03-01,1.24,1.27,1.22,1.25,KES
,Kenya,Nairobi,Nairobi,food_price_index,2024-03-01,1.25,1.28,1.23,1.26,KES
,Kenya,Coast,Kilifi,food_price_index,2024-03-01,1.27,1.29,1.25,1.27,KES
,Kenya,Coast,Vanga (Kwale),food_price_index,2024-03-01,1.27,1.3,1.24,1.27,KES
,Kenya,Rift Valley,Wakulima (Nakuru),food_price_index,2024-03-01,1.27,1.29,1.25,1.27,KES
,Kenya,Coast,Kalahari (Mombasa),food_price_index,2024-03-01,1.28,1.31,1.25,1.28,KES
