Field,Cultivar,N_Rate,chemical_TRT,Plot,Ear_num,Ear_length,Cob_length,Kernel _row,row_ear,kernel_ear,cob_diameter,100Kernel_weight_gr
F7 Corn Nitrogen,P15784AM,120,1,1,1,28.0,19.5,37,16,592,23.68,31.69
F7 Corn Nitrogen,P15784AM,120,1,1,2,26.5,18.0,37,18,666,25.70,29.58
F7 Corn Nitrogen,P15784AM,120,1,1,3,24.0,17.0,31,18,558,24.89,24.20
F7 Corn Nitrogen,P15784AM,120,1,1,4,22.0,17.5,29,18,522,25.48,29.93
F7 Corn Nitrogen,P15784AM,120,1,1,5,22.5,17.0,29,18,522,24.95,24.87
F7 Corn Nitrogen,P15784AM,120,0,2,1,30.0,20.0,38,16,608,25.03,35.82
F7 Corn Nitrogen,P15784AM,120,0,2,2,24.0,18.5,32,16,512,24.47,27.17
F7 Corn Nitrogen,P15784AM,120,0,2,3,25.5,15.0,28,16,448,23.80,25.16
F7 Corn Nitrogen,P15784AM,120,0,2,4,23.5,16.0,27,18,486,24.56,28.27
F7 Corn Nitrogen,P15784AM,120,0,2,5,23.0,18.5,36,16,576,24.79,31.08
F7 Corn Nitrogen,P15784AM,120,2,3,1,24.5,20.0,43,16,688,24.55,29.94
F7 Corn Nitrogen,P15784AM,120,2,3,2,24.5,18.5,35,18,630,26.95,23.83
F7 Corn Nitrogen,P15784AM,120,2,3,3,23.0,18.5,33,20,660,26.14,28.55
F7 Corn Nitrogen,P15784AM,120,2,3,4,26.5,16.5,31,18,558,24.99,30.05
F7 Corn Nitrogen,P15784AM,120,2,3,5,24.5,17.5,36,16,576,24.34,30.39
F7 Corn Nitrogen,P15784AM,120,3,4,1,24.0,19.0,36,16,576,24.58,30.12
F7 Corn Nitrogen,P15784AM,120,3,4,2,24.5,20.0,35,18,630,25.54,28.30
F7 Corn Nitrogen,P15784AM,120,3,4,3,21.0,16.5,34,16,544,22.64,28.16
F7 Corn Nitrogen,P15784AM,120,3,4,4,24.0,20.5,42,20,840,26.22,28.58
F7 Corn Nitrogen,P15784AM,120,3,4,5,22.5,18.0,36,19,684,24.64,25.50
F7 Corn Nitrogen,P15784AM,180,0,5,1,18.0,15.5,30,16,480,21.84,23.36
F7 Corn Nitrogen,P15784AM,180,0,5,2,21.0,19.0,39,18,702,26.44,26.86
F7 Corn Nitrogen,P15784AM,180,0,5,3,21.0,17.0,30,16,480,24.03,26.41
F7 Corn Nitrogen,P15784AM,180,0,5,4,20.0,17.5,33,16,528,23.58,26.23
